1069,'21122,Meat of ducks; fresh or chilled
1126,'02121.01,Camels
982,'02291,Raw milk of sheep
79,'0118,Millet
94,'01193,Fonio
157,'01801,Sugar beet
894,'22221.01,Whole milk; evaporated
367,'01211,Asparagus
550,'01351.01,Currants
388,'01234,Tomatoes
702,'01653,Nutmeg; mace; cardamoms; raw
1128,'21159.02,Edible offals of camels and other camelids; fresh; chilled or frozen
1150,'02192.01,Other rodents
15,'0111,Wheat
1765,'F1765,Meat; Total
592,'01352,Kiwi fruit
191,'01703,Chick peas; dry
1141,'21114,Meat of rabbits and hares; fresh or chilled
780,'01922.01,Jute; raw or retted
1035,'21113.01,Meat of pig with the bone; fresh or chilled
836,'01950.01,Natural rubber in primary forms
378,'01219.01,Cassava leaves
515,'01341,Apples
136,'01550,Taro
1108,'21118.02,Meat of asses; fresh or chilled
236,'0141,Soya beans
904,'22251.02,Cheese from skimmed cow milk
895,'22221.02,Skim milk; evaporated
577,'01314,Dates
976,'02122,Sheep
83,'0114,Sorghum
869,'21512,Cattle fat; unrendered
661,'01640,Cocoa beans
782,'01922.02,Kenaf; and other textile bast fibres; raw or retted
1182,'02910,Natural honey
919,'02951.01,Raw hides and skins of cattle
1089,'21170.01,Meat of pigeons and other birds n.e.c.; fresh; chilled or frozen
407,'01254,Leeks and other alliaceous vegetables
568,'01229,Cantaloupes and other melons
461,'01356,Locust beans (carobs)
393,'01213,Cauliflowers and broccoli
867,'21111.01,Meat of cattle with the bone; fresh or chilled
226,'01379.01,Areca nuts
1080,'21124,Meat of turkeys; fresh or chilled
1735,'F1735,Vegetables Primary
897,'22211,Whole milk powder
571,'01316,Mangoes; guavas and mangosteens
220,'01373,Chestnuts; in shell
587,'01359.01,Persimmons
979,'21514,Sheep fat; unrendered
720,'01657,Ginger; raw
800,'01929.06,Agave fibres; raw; n.e.c.
205,'01709.01,Vetches
30,'F0030,Rice; paddy (rice milled equivalent)
1019,'21515,Goat fat; unrendered
1183,'02960.01,Beeswax
564,'24212.02,Wine
271,'21641.01,Rapeseed or canola oil; crude
948,'21152,Edible offal of buffalo; fresh; chilled or frozen
984,'22253,Cheese from milk of sheep; fresh or processed
898,'22212,Skim milk and whey powder
1726,'F1726,Pulses; Total
1073,'21123,Meat of geese; fresh or chilled
1730,'F1730,Oilcrops Primary
60,'21691.02,Oil of maize
821,'01929.90,Other fibre crops; raw; n.e.c.
489,'01313,Plantains and cooking bananas
813,'01929.08,Coir; raw
225,'01374,Hazelnuts; in shell
197,'01707,Pigeon peas; dry
888,'22110.02,Skim milk of cows
210,'01709.02,Lupins
536,'01346,Plums and sloes
463,'01290.90,Other vegetables; fresh n.e.c.
201,'01704,Lentils; dry
1158,'21117.02,Meat of other domestic camelids; fresh or chilled
619,'01359.90,Other fruits; n.e.c.
256,'01491.02,Palm kernels
430,'01239.01,Okra
101,'01195,Canary seed
270,'01443,Rape or colza seed
667,'01620,Tea leaves
75,'0117,Oats
331,'2168,Cottonseed oil
777,'01929.02,True hemp; raw or retted
512,'01329,Other citrus fruit; n.e.c.
116,'01510,Potatoes
261,'2167,Olive oil
292,'01442,Mustard seed
187,'01705,Peas; dry
656,'01610,Coffee; green
1804,'F1804,Citrus Fruit; Total
1809,'F1809,Skim Milk&Buttermilk;Dry
1816,'F1816,Evaporat&Condensed Milk
1140,'02191,Rabbits and hares
526,'01343,Apricots
698,'01656,Cloves (whole stems); raw
414,'01241.90,Other beans; green
125,'01520.01,Cassava; fresh
1717,'F1717,Cereals; Total
603,'01319,Other tropical fruits; n.e.c.
490,'01323,Oranges
671,'01630,Maté leaves
1749,'F1749,Sheep and Goats
1185,'02944,Silk-worm cocoons suitable for reeling
89,'01192,Buckwheat
1841,'F1841,Oilcrops; Cake Equivalent
156,'01802,Sugar cane
1811,'F1811,Butter and Ghee
946,'02112,Buffalo
